image_number,subjects,fonds_title,creator,description,image_title,names,creation_date,image_url
EA-10-1009,,Northern Alberta Pioneers and Old Timers' Association fonds,,": Business - Barber Shop - Jewellry Store - Hallier & Aldridge, Bakery - Macdonald Pharmacy - Edmonton Sporting Goods - Sugarman (W.) Merchant Parades Military - Cadets Streets - Jasper Avenue",Memorial Parade for Edward VII,,"May 20, 1910",https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1Mjk=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY2ODA=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1010,,Northern Alberta Pioneers and Old Timers' Association fonds,,": Banks - Canadian Bank of Commerce Business - Hallier & Aldridge, Bakers - Macdonald Pharmacy - Edmonton Sporting Goods - Sugarman, (W.) Merchant Streets - Jasper Avenue Flags - Half-Mast Parades 101st Fusiliers Band",Memorial Parade for Edward VII,,"May 20, 1910",https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1MzE=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY2ODI=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1011,,Northern Alberta Pioneers and Old Timers' Association fonds,,: Banks - Canadian Bank of Commerce Business - Hallier & Aldridge - Macdonald Pharmacy - Edmonton Sporting Goods - Sugarman W. Merchant Flags - Half-mast Streets - Jasper Avenue Military - 101st Fusiliers,Memorial Parade for Edward VII,,"May 20, 1910",https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1MzI=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY2ODM=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1012,,Northern Alberta Pioneers and Old Timers' Association fonds,,,Jasper Avenue at 101 Street,,1918,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1MzM=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY2ODQ=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1013,,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid #18913,,Edmonton Fire Dept. - Fire Hall #1 & City Annex,,1956,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1MzQ=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY2ODU=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1026,,Northern Alberta Pioneers and Old Timers' Association fonds,,: Business - Wilkin & Co. - Grocer - Sutherland Drugs - Hardware Store Church - Fort Saskatchewan Transportation - Horse & Buggy Streets - Dennis Ave. Ft. Sask.,Fort Saskatchewan Dennis Avenue,,1905,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1NDg=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY2OTk=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1050,,Northern Alberta Pioneers and Old Timers' Association fonds,,: Bridges - Groat Ravine Bridge Streets - 102 Avenue Transportation - Cars.,Street Railway Derailment on Groat Ravine Bridge,,"October 22, 1919",https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1NzU=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY3MjY=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1055,,Northern Alberta Pioneers and Old Timers' Association fonds,,: Bridges - Groat Ravine Streets - 102 Avenue Transportation - Horse & Buggy - Cars,Street Railway Derailment,,"October 22, 1919",https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1ODA=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY3MzE=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1056,Houses,MS-56 Northern Alberta Pioneers and Old Timers' Association fonds,unknown,,Looking North on 115 Avenue,,[ca. 1912],https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDkwNzM=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjUyNDU=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1061,Bridges,MS-56 Northern Alberta Pioneers and Old Timers' Association fonds,unknown,": 102 Avenue, includes Buena Vista Apartments and the Robertson United Church.",On The Groat Ravine Bridge Looking East,,1920,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1ODc=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY3MzU=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
